Nombre del producto,Url de la imagen
Punta de Pacaya,https://zurichgt.com/wp-content/uploads/2024/04/Punta_de_pacaya_7926cc3f2e-min-300x300.png
Rocher,https://zurichgt.com/wp-content/uploads/2024/04/Rocher_960e646476-min-300x300.png
Trufa Blanca,https://zurichgt.com/wp-content/uploads/2024/04/Trufa_blanca_dd6a40f5ed-min-300x300.png
Nougat Miel,https://zurichgt.com/wp-content/uploads/2024/04/Nougat_cf7f868573-min-300x300.png
Capuccino,https://zurichgt.com/wp-content/uploads/2024/04/Capuccino_b39d5e5734-min-300x300.png
Caramelo Fondant,https://zurichgt.com/wp-content/uploads/2024/04/Caramelo_fondant_e00e41ee6a-min-300x300.png
Mocca,https://zurichgt.com/wp-content/uploads/2024/04/Mocca_c06d68ed53-min-300x300.png
